zomet,ishuv,rehov1,rehov2,x,y
550007,6400,502,530,185897,675925
550225,5000,335,336,184323,668576
560053,7900,628,730,189932,664861
570001,229,135,170,187806,662669
570001,681,116,133,186167,664934
570001,8700,146,161,188860,676782
570002,7100,394,806,159374,621120
570031,874,123,124,222720,731405
570031,874,123,125,222720,731405
570031,874,123,142,222720,731405
570031,874,124,125,222720,731405
570031,874,124,142,222720,731405
570031,874,125,142,222720,731405
570163,874,231,232,223036,732832
570523,5000,1216,1218,178105,663976
580003,2640,133,142,194833,667059
590053,7900,628,720,190102,664855
590053,7900,628,748,190102,664855
590053,7900,720,748,190102,664855
590062,7900,236,426,190060,666827
600003,7100,451,471,160615,619197
600006,9100,404,412,209344,767928
610005,7800,125,147,197377,708172
610007,246,104,109,161008,592591
610100,246,152,153,159957,591510
610100,246,153,253,159957,591510
610100,246,153,202,159957,591510
610100,246,152,253,159957,591510
610100,246,152,202,159957,591510
610100,246,202,253,159957,591510
620062,7900,236,428,189994,666769
630001,1031,224,225,161915,603832
630001,1031,162,225,161915,603832
630001,1031,162,224,161915,603832
630001,1139,123,128,228485,758533
630001,9600,111,161,207558,750698
640017,1020,105,163,193128,712014
640041,229,140,163,188747,663513
640042,229,136,163,188452,663514
650002,9500,115,116,208810,749403
670001,681,115,120,185820,664926
670001,1200,100,137,202552,645016
670003,1139,167,201,227551,757866
670022,7400,210,238,187228,694375
670059,1031,129,275,161050,604214
670059,1031,129,337,161050,604214
670059,1031,275,337,161050,604214
670059,1031,258,275,161050,604214
670059,1031,258,337,161050,604214
670059,1031,129,258,161050,604214
670178,1031,356,357,162845,603668
670178,1031,356,360,162845,603668
670178,1031,357,360,162845,603668
670189,1031,235,337,161127,603072
690001,2400,112,114,187347,659842
690042,6100,811,812,185180,664584
690042,7400,813,830,189222,691130
690042,7400,813,831,189222,691130
690042,7400,830,831,189222,691130
690062,7900,430,433,190570,666377
710001,8700,139,204,188662,677707
770002,2620,120,249,185926,662874
770021,9000,833,1369,180847,571742
770021,9000,833,1408,180847,571742
770021,9000,1369,1408,180847,571742
780135,1200,442,650,200553,646983
780143,1200,451,453,200466,645914
780201,1200,619,630,200279,643130
780258,1200,1501,1512,196355,644128
810042,6100,872,878,184759,664700
820007,6400,534,564,184591,675270
830003,7700,201,267,231391,726407
890006,9100,410,441,209222,767831
900001,9400,116,166,189378,659633
900001,9400,161,166,189378,659633
900001,9400,116,161,189378,659633
910035,7400,602,607,186715,691001
910035,7400,607,618,186715,691001
910035,7400,602,618,186715,691001
1020008,6900,412,480,190654,677311
1030001,9400,103,158,190411,659475
1030001,9400,103,212,190411,659475
1030001,9400,158,212,190411,659475
1070009,6400,618,705,181323,675083
1080007,6400,542,811,184194,674702
1160007,6400,538,596,183494,674482
1180007,6400,542,547,184139,674463
1180021,9000,103,847,182049,572666
1180021,9000,847,995,182049,572666
1180021,9000,103,995,182049,572666
1230002,8700,190,312,186781,677990
1440002,7100,310,311,159325,620994
1560002,7100,374,377,159079,619857
1560005,9500,145,149,207973,747719
1590002,7100,377,416,159174,619575
1600002,7100,397,416,159024,619533
5313001,5000,1005,1047,181110,666453
7010002,1061,124,159,229482,734141
7010002,1061,158,159,229482,734141
7010002,1061,124,158,229482,734141
7030002,1061,158,161,229295,733768
7040011,9000,277,285,179124,574163
7070002,1061,145,159,229738,733830
7070002,1061,145,161,229738,733830
7070002,1061,159,161,229738,733830
7080022,7400,214,219,187100,695429
7090000,6600,426,706,179047,659553
7180051,9000,304,311,178572,573929
7180051,9000,311,340,178572,573929
7180051,9000,304,340,178572,573929
7210002,7200,103,109,181081,648527
7210002,7200,109,229,181081,648527
7210002,7200,103,229,181081,648527
7230000,8400,326,330,181022,644383
7230043,9000,366,810,179304,572836
7230043,9000,359,810,179304,572836
7230043,9000,359,366,179304,572836
7232440,3000,4129,4392,222457,633617
7232440,3000,4129,4393,222457,633617
7232440,3000,4392,4393,222457,633617
7232440,3000,4129,4352,222457,633617
7232440,3000,4352,4392,222457,633617
7232440,3000,4352,4393,222457,633617
7240001,7200,107,109,181268,648590
7240002,8000,211,212,246792,763949
7250003,2650,163,386,184914,671626
7250003,2650,326,386,184914,671626
7250003,2650,163,326,184914,671626
7260003,2650,163,221,185175,671578
7260003,2650,221,327,185175,671578
7260003,2650,163,327,185175,671578
7280000,2630,147,285,177256,612044
7280001,8200,133,157,208035,748951
7280007,6900,420,442,191202,677174
7290007,6900,309,412,191169,677080
7290007,6900,309,420,191169,677080
7290007,6900,412,420,191169,677080
7300004,2630,125,147,179144,613123
7300023,8300,307,347,181839,653338
7310007,6900,302,420,191000,676948
7330313,5000,403,435,179247,666970
7350001,8200,133,143,207520,748792
7350001,8700,103,139,188490,676347
7350007,6900,420,424,190700,676627
7390002,2600,116,121,194886,386130
7400007,6900,420,523,190263,676160
7400007,6900,429,523,190263,676160
7400007,6900,420,429,190263,676160
7400011,9000,210,263,179929,574797
7400011,9000,210,353,179929,574797
7400011,9000,263,353,179929,574797
7410004,2800,203,410,253550,790608
7420001,2800,308,410,253742,791625
7420002,7200,134,212,181005,647998
7420002,7200,103,212,181005,647998
7420002,7200,103,134,181005,647998
7420003,8200,103,117,207465,748362
7430215,8600,903,1402,182955,664245
7430215,8600,214,1402,182955,664245
7430215,8600,214,903,182955,664245
7430317,5000,404,450,178991,666417
7440002,7700,108,251,230968,726154
7440002,7700,108,280,230968,726154
7440002,7700,251,280,230968,726154
7440003,2200,177,187,203245,553427
7440317,5000,404,456,178965,666300
7450003,2630,113,122,177498,613102
7450004,2800,227,312,253571,790795
7450004,2800,227,410,253571,790795
7450004,2800,312,410,253571,790795
7460001,2600,109,147,194639,385189
7460003,2620,138,210,187206,663168
7460003,2620,127,210,187206,663168
7460003,2620,127,138,187206,663168
7470001,2800,312,407,253750,790625
7470001,7600,109,221,208084,758800
7470001,7600,221,501,208084,758800
7470001,7600,109,501,208084,758800
7480001,2600,105,139,194476,385491
7480001,6700,202,234,250520,744190
7480002,70,118,126,166640,635157
7490000,9700,101,199,190167,672303
7490002,70,126,144,166776,635120
7490002,7700,280,281,230465,725777
